iter	Passed	Remaining
0	143	143826
1	146	72933
2	148	49202
3	149	37342
4	151	30088
5	152	25270
6	153	21837
7	155	19261
8	157	17305
9	158	15699
10	160	14422
11	161	13325
12	163	12396
13	165	11635
14	166	10938
15	167	10314
16	169	9774
17	170	9276
18	171	8831
19	172	8443
20	173	8090
21	174	7758
22	175	7465
23	177	7201
24	177	6941
25	178	6700
26	179	6474
27	180	6268
28	181	6083
29	182	5912
30	183	5742
31	184	5577
32	185	5421
33	185	5276
34	186	5142
35	187	5012
36	188	4893
37	188	4778
38	189	4668
39	190	4567
40	190	4465
41	191	4370
42	192	4277
43	192	4189
44	193	4105
45	194	4024
46	194	3947
47	195	3873
48	195	3800
49	196	3731
50	196	3663
51	197	3599
52	197	3536
53	198	3476
54	198	3418
55	199	3362
56	199	3308
57	200	3256
58	201	3207
59	201	3159
60	202	3115
61	203	3072
62	203	3030
63	204	2988
64	204	2946
65	205	2906
66	205	2867
67	206	2830
68	207	2794
69	207	2758
70	208	2724
71	208	2691
72	209	2657
73	209	2626
74	210	2595
75	210	2564
76	211	2534
77	211	2504
78	212	2477
79	213	2450
80	213	2422
81	214	2396
82	214	2368
83	214	2343
84	215	2318
85	215	2294
86	216	2272
87	217	2252
88	218	2234
89	218	2212
90	219	2192
91	220	2171
92	220	2151
93	221	2132
94	221	2112
95	222	2093
96	222	2074
97	223	2056
98	223	2037
99	224	2019
100	224	2001
101	225	1984
102	225	1967
103	226	1951
104	227	1935
105	227	1919
106	228	1903
107	228	1888
108	229	1872
109	229	1857
110	230	1843
111	230	1829
112	231	1815
113	231	1801
114	232	1788
115	233	1776
116	233	1763
117	234	1751
118	234	1739
119	235	1726
120	236	1714
121	236	1701
122	236	1689
123	237	1677
124	237	1665
125	238	1654
126	238	1642
127	239	1631
128	240	1620
129	240	1609
130	241	1598
131	241	1588
132	242	1577
133	242	1567
134	243	1557
135	243	1547
136	244	1537
137	244	1528
138	245	1518
139	245	1509
140	246	1499
141	246	1489
142	247	1483
143	248	1476
144	248	1467
145	249	1459
146	250	1451
147	250	1443
148	251	1435
149	251	1427
150	252	1419
151	253	1411
152	253	1403
153	253	1395
154	254	1387
155	254	1379
156	255	1371
157	256	1364
158	256	1357
159	257	1350
160	257	1342
161	258	1335
162	258	1328
163	259	1321
164	259	1314
165	260	1307
166	260	1301
167	261	1294
168	261	1287
169	262	1282
170	263	1277
171	264	1271
172	264	1266
173	265	1260
174	266	1255
175	266	1249
176	267	1244
177	268	1238
178	268	1232
179	269	1226
180	269	1221
181	270	1215
182	270	1209
183	271	1203
184	271	1198
185	272	1193
186	273	1188
187	274	1183
188	274	1178
189	275	1173
190	275	1168
191	276	1163
192	276	1158
193	277	1153
194	278	1150
195	279	1146
196	280	1142
197	280	1137
198	281	1133
199	282	1128
200	282	1124
201	283	1119
202	284	1115
203	284	1110
204	285	1106
205	285	1101
206	286	1097
207	286	1092
208	287	1088
209	288	1083
210	288	1079
211	289	1075
212	289	1070
213	290	1066
214	290	1062
215	291	1057
216	291	1053
217	292	1050
218	293	1047
219	294	1043
220	295	1040
221	295	1036
222	296	1032
223	297	1028
224	297	1024
225	298	1021
226	299	1018
227	299	1014
228	300	1010
229	300	1006
230	301	1003
231	301	999
232	302	995
233	303	992
234	303	988
235	304	984
236	304	980
237	305	976
238	305	973
239	306	969
240	306	965
241	307	962
242	307	959
243	308	956
244	309	953
245	310	950
246	310	947
247	311	943
248	311	940
249	312	937
250	313	934
251	313	930
252	314	928
253	314	924
254	315	921
255	315	917
256	316	914
257	316	911
258	317	908
259	317	904
260	318	901
261	319	898
262	319	895
263	320	892
264	320	890
265	321	887
266	322	884
267	322	880
268	323	879
269	324	876
270	324	874
271	325	871
272	326	868
273	326	865
274	327	863
275	328	860
276	328	858
277	329	855
278	329	852
279	330	849
280	330	846
281	331	844
282	332	841
283	332	838
284	333	835
285	333	833
286	334	830
287	335	828
288	335	825
289	336	823
290	336	820
291	337	817
292	337	815
293	338	813
294	339	811
295	340	809
296	340	806
297	341	804
298	342	802
299	342	799
300	343	797
301	344	795
302	344	792
303	345	790
304	345	787
305	346	785
306	346	782
307	347	780
308	347	777
309	348	775
310	349	773
311	349	770
312	350	768
313	350	765
314	351	764
315	352	762
316	352	760
317	353	758
318	354	756
319	355	754
320	355	752
321	356	750
322	356	748
323	357	746
324	358	744
325	358	741
326	359	739
327	359	737
328	360	735
329	360	732
330	361	730
331	361	728
332	362	726
333	363	723
334	363	721
335	364	719
336	364	717
337	365	715
338	365	713
339	366	710
340	366	708
341	367	706
342	367	704
343	368	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	691
350	373	689
351	373	687
352	374	685
353	374	683
354	375	681
355	375	679
356	376	678
357	377	676
358	377	674
359	378	672
360	379	670
361	379	669
362	380	667
363	380	665
364	381	663
365	381	661
366	382	659
